"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","695","Клик по кнопке показать/скрыть пароль делает поле активным","tests","Sat Mar 15 13:25:50 MSK 2025","passed","Sat Mar 15 13:25:50 MSK 2025","TestPasswordRecovery","test_password_recovery","",""
"","1047","Переход на страницу восстановления пароля по кнопке «Восстановить пароль»","tests","Sat Mar 15 13:24:59 MSK 2025","passed","Sat Mar 15 13:25:00 MSK 2025","TestPasswordRecovery","test_password_recovery","",""
"","47","Переход по клику на «Лента заказов»","tests","Sat Mar 15 13:21:11 MSK 2025","passed","Sat Mar 15 13:21:11 MSK 2025","TestBasicFunctionality","test_basic_functionality","",""
"","2103","Закрывание кликом по крестику всплывающего окна","tests","Sat Mar 15 13:21:43 MSK 2025","passed","Sat Mar 15 13:21:45 MSK 2025","TestBasicFunctionality","test_basic_functionality","",""
"","839","Переход по клику на ""Личный кабинет""","tests","Sat Mar 15 13:19:49 MSK 2025","passed","Sat Mar 15 13:19:50 MSK 2025","TestAccount","test_account","",""
"","1100","Ввод почты и клик по кнопке «Восстановить»","tests","Sat Mar 15 13:25:23 MSK 2025","passed","Sat Mar 15 13:25:25 MSK 2025","TestPasswordRecovery","test_password_recovery","",""
"","9022","Переход в раздел ""История заказов""","tests","Sat Mar 15 13:20:05 MSK 2025","passed","Sat Mar 15 13:20:14 MSK 2025","TestAccount","test_account","",""
"","1398","Выход из аккаунта","tests","Sat Mar 15 13:20:29 MSK 2025","passed","Sat Mar 15 13:20:31 MSK 2025","TestAccount","test_account","",""
"","1070","Переход по клику на «Конструктор»","tests","Sat Mar 15 13:20:35 MSK 2025","passed","Sat Mar 15 13:20:36 MSK 2025","TestBasicFunctionality","test_basic_functionality","",""
"","1127","Клик по кнопке показать/скрыть пароль делает поле активным","tests","Sat Mar 15 13:25:59 MSK 2025","passed","Sat Mar 15 13:26:00 MSK 2025","TestPasswordRecovery","test_password_recovery","",""
"","1645","Оформление заказа залогиненным пользователем","tests","Sat Mar 15 13:22:36 MSK 2025","passed","Sat Mar 15 13:22:38 MSK 2025","TestBasicFunctionality","test_basic_functionality","",""
"","47","Увеличение каунтера ингредиента, при добавлении этого ингредиента в заказ","tests","Sat Mar 15 13:22:22 MSK 2025","passed","Sat Mar 15 13:22:22 MSK 2025","TestBasicFunctionality","test_basic_functionality","",""
"","1487","Переход в раздел ""История заказов""","tests","Sat Mar 15 13:19:55 MSK 2025","passed","Sat Mar 15 13:19:56 MSK 2025","TestAccount","test_account","",""
"","2013","Выход из аккаунта","tests","Sat Mar 15 13:20:19 MSK 2025","passed","Sat Mar 15 13:20:21 MSK 2025","TestAccount","test_account","",""
"","36682","Счётчик Выполнено за сегодня увеличивается, при создании нового заказа","tests","Sat Mar 15 13:24:18 MSK 2025","passed","Sat Mar 15 13:24:55 MSK 2025","TestOrderFeed","test_order_feed","",""
"","2121","Оформление заказа залогиненным пользователем","tests","Sat Mar 15 13:22:26 MSK 2025","passed","Sat Mar 15 13:22:28 MSK 2025","TestBasicFunctionality","test_basic_functionality","",""
"","1187","Ввод почты и клик по кнопке «Восстановить»","tests","Sat Mar 15 13:25:14 MSK 2025","passed","Sat Mar 15 13:25:15 MSK 2025","TestPasswordRecovery","test_password_recovery","",""
"","771","Переход по клику на «Конструктор»","tests","Sat Mar 15 13:20:56 MSK 2025","passed","Sat Mar 15 13:20:57 MSK 2025","TestBasicFunctionality","test_basic_functionality","",""
"","1086","Переход по клику на ""Личный кабинет""","tests","Sat Mar 15 13:19:36 MSK 2025","passed","Sat Mar 15 13:19:37 MSK 2025","TestAccount","test_account","",""
"","13172","Всплывающее окно с деталями, при клике на заказ","tests","Sat Mar 15 13:22:52 MSK 2025","passed","Sat Mar 15 13:23:05 MSK 2025","TestOrderFeed","test_order_feed","",""
"","680","Увеличение каунтера ингредиента, при добавлении этого ингредиента в заказ","tests","Sat Mar 15 13:22:00 MSK 2025","passed","Sat Mar 15 13:22:01 MSK 2025","TestBasicFunctionality","test_basic_functionality","",""
"","452","Всплывающее окно с деталями, если кликнуть на ингредиент","tests","Sat Mar 15 13:21:16 MSK 2025","passed","Sat Mar 15 13:21:17 MSK 2025","TestBasicFunctionality","test_basic_functionality","",""
"","3210","Счётчик Выполнено за всё время увеличивается, при создании нового заказа","tests","Sat Mar 15 13:23:50 MSK 2025","passed","Sat Mar 15 13:23:53 MSK 2025","TestOrderFeed","test_order_feed","",""
"","423","Переход по клику на «Лента заказов»","tests","Sat Mar 15 13:21:02 MSK 2025","passed","Sat Mar 15 13:21:03 MSK 2025","TestBasicFunctionality","test_basic_functionality","",""
"","989","Всплывающее окно с деталями, при клике на заказ","tests","Sat Mar 15 13:22:43 MSK 2025","passed","Sat Mar 15 13:22:44 MSK 2025","TestOrderFeed","test_order_feed","",""
"","1630","Закрывание кликом по крестику всплывающего окна","tests","Sat Mar 15 13:21:54 MSK 2025","passed","Sat Mar 15 13:21:55 MSK 2025","TestBasicFunctionality","test_basic_functionality","",""
"","9197","Отображение заказов пользователя из раздела «История заказов» на странице «Лента заказов»","tests","Sat Mar 15 13:23:10 MSK 2025","passed","Sat Mar 15 13:23:19 MSK 2025","TestOrderFeed","test_order_feed","",""
"","6494","Отображение заказов пользователя из раздела «История заказов» на странице «Лента заказов»","tests","Sat Mar 15 13:23:27 MSK 2025","passed","Sat Mar 15 13:23:33 MSK 2025","TestOrderFeed","test_order_feed","",""
"","12565","Счётчик Выполнено за сегодня увеличивается, при создании нового заказа","tests","Sat Mar 15 13:23:57 MSK 2025","passed","Sat Mar 15 13:24:10 MSK 2025","TestOrderFeed","test_order_feed","",""
"","887","Переход на страницу восстановления пароля по кнопке «Восстановить пароль»","tests","Sat Mar 15 13:25:08 MSK 2025","passed","Sat Mar 15 13:25:09 MSK 2025","TestPasswordRecovery","test_password_recovery","",""
"","12247","Всплывающее окно с деталями, если кликнуть на ингредиент","tests","Sat Mar 15 13:21:26 MSK 2025","passed","Sat Mar 15 13:21:38 MSK 2025","TestBasicFunctionality","test_basic_functionality","",""
"","4097","Счётчик Выполнено за всё время увеличивается, при создании нового заказа","tests","Sat Mar 15 13:23:38 MSK 2025","passed","Sat Mar 15 13:23:42 MSK 2025","TestOrderFeed","test_order_feed","",""
